Configuration,Successes,Attempts,SuccessRate (%)
config_00_random,6,8,75.0
config_01_random,6,8,75.0
config_02_random,7,8,87.5
config_03_random,3,8,37.5
config_04_random,3,8,37.5
config_05_random,3,8,37.5
config_06_random,4,8,50.0
config_07_random,7,8,87.5
config_08_random,5,8,62.5
config_09_random,5,8,62.5
config_10_random,6,8,75.0
config_11_random,7,8,87.5
config_12_random,7,8,87.5
config_13_random,4,8,50.0
config_14_random,3,8,37.5
config_15_random,8,8,100.0
