timestamp,step_count,eef_pos_x,eef_pos_y,eef_pos_z,eef_quat_x,eef_quat_y,eef_quat_z,eef_quat_w
2025-07-02 10:48:11.994,58,0.5228936672210693,-0.20245122909545898,0.41557803750038147,0.9990329146385193,0.003627390367910266,0.04070636257529259,0.016069462522864342
2025-07-02 10:48:12.044,59,0.5226259827613831,-0.20221680402755737,0.4146560728549957,0.999104917049408,0.0037593881133943796,0.03918392211198807,0.015329848974943161
2025-07-02 10:48:12.094,60,0.5223197937011719,-0.2019542157649994,0.41356953978538513,0.9991852045059204,0.0038967044092714787,0.037414126098155975,0.01446125004440546
2025-07-02 10:48:12.145,61,0.5222046375274658,-0.20187819004058838,0.4124178886413574,0.9992465972900391,0.004043309949338436,0.03596813976764679,0.013832269236445427
2025-07-02 10:48:12.194,62,0.522256076335907,-0.20211516320705414,0.4115033745765686,0.9992775917053223,0.004115610849112272,0.03514714911580086,0.013683697208762169
2025-07-02 10:48:12.244,63,0.5221990346908569,-0.20237311720848083,0.4107014536857605,0.9993096590042114,0.0041055879555642605,0.034292351454496384,0.01351251918822527
2025-07-02 10:48:12.294,64,0.5220246911048889,-0.2025887668132782,0.4097907245159149,0.9993528723716736,0.004191164392977953,0.033069685101509094,0.01333740632981062
2025-07-02 10:48:12.345,65,0.5217804312705994,-0.20275452733039856,0.4088374376296997,0.9994011521339417,0.0043928539380431175,0.03159679099917412,0.013225276954472065
2025-07-02 10:48:12.396,66,0.5214014053344727,-0.20279765129089355,0.40776002407073975,0.9994620680809021,0.00460077216848731,0.02973535656929016,0.012860147282481194
2025-07-02 10:48:12.444,67,0.5210100412368774,-0.20270556211471558,0.40654751658439636,0.999525249004364,0.004834753926843405,0.027745608240365982,0.012300037778913975
2025-07-02 10:48:12.494,68,0.5205653309822083,-0.20251187682151794,0.4049738645553589,0.9995941519737244,0.005126665811985731,0.025431515648961067,0.011562181636691093
2025-07-02 10:48:12.544,69,0.5200626254081726,-0.2022848129272461,0.40311819314956665,0.9996627569198608,0.005507493391633034,0.02285502664744854,0.010811418294906616
2025-07-02 10:48:12.594,70,0.5194700956344604,-0.20204316079616547,0.40088966488838196,0.9997270703315735,0.006023925729095936,0.02002325840294361,0.010188069194555283
2025-07-02 10:48:12.644,71,0.5190491676330566,-0.2019893378019333,0.39846664667129517,0.9997742772102356,0.006807506550103426,0.017263012006878853,0.010109000839293003
2025-07-02 10:48:12.694,72,0.5189363956451416,-0.20230133831501007,0.3960963189601898,0.9998089075088501,0.007595363073050976,0.014644864946603775,0.010257956571877003
2025-07-02 10:48:12.749,73,0.5184805989265442,-0.20272451639175415,0.39324524998664856,0.9998548030853271,0.008015825413167477,0.011235101148486137,0.009751259349286556
2025-07-02 10:48:12.797,74,0.5179727077484131,-0.20303495228290558,0.3905770182609558,0.9998883605003357,0.008238352835178375,0.008261534385383129,0.009075689129531384
2025-07-02 10:48:12.844,75,0.5174460411071777,-0.2033117711544037,0.3879892826080322,0.9999136328697205,0.008489955216646194,0.005136346444487572,0.008330531418323517
2025-07-02 10:48:12.894,76,0.5167203545570374,-0.20349733531475067,0.38511040806770325,0.9999286532402039,0.008878421038389206,0.0014551850035786629,0.00754217803478241
2025-07-02 10:48:12.944,77,0.5158345699310303,-0.2035152018070221,0.38189807534217834,0.9999302625656128,0.0092594213783741,-0.0022548483684659004,0.006621521897614002
2025-07-02 10:48:12.994,78,0.5147836804389954,-0.20343877375125885,0.37808361649513245,0.9999188780784607,0.00955167505890131,-0.005965203978121281,0.005529722664505243
2025-07-02 10:48:13.045,79,0.5134916305541992,-0.2033318728208542,0.37380775809288025,0.9998863935470581,0.00998301338404417,-0.010111483745276928,0.004528236575424671
2025-07-02 10:48:13.102,80,0.5117910504341125,-0.20316725969314575,0.36848658323287964,0.9998223185539246,0.010499066673219204,-0.015137512236833572,0.0033374889753758907
