timestamp,joint_positions,joint_velocities,object_position,target_position,last_action,interpered_actions
1745586297.6973414,"[0.0016660566786390427, 0.009419383466801046, 0.0032663339667595584, 0.028936187991423612, 0.05631437162985174, 0.02440135065833804, 0.08760063344992253, -0.03997209166576795, -0.03997209166576795]","[0.0006135477933976257, -0.00038512584882972824, 0.0006503449655998125, -0.0014001975118205327, -0.0009024795327801152, -0.0014443590984690635, -1.3180738806870722e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.707287,"[0.0016660566786390427, 0.009419383466801046, 0.0032663339667595584, 0.028936187991423612, 0.05631437162985174, 0.02440135065833804, 0.08760063344992253, -0.03997209166576795, -0.03997209166576795]","[0.0006135477933976257, -0.00038512584882972824, 0.0006503449655998125, -0.0014001975118205327, -0.0009024795327801152, -0.0014443590984690635, -1.3180738806870722e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.7171814,"[0.0016623462170052988, 0.009423400743223231, 0.0032622840864496784, 0.028938943321044963, 0.0563143714745867, 0.024372358511878023, 0.08760254117592903, -0.03997209166576795, -0.03997209166576795]","[-0.0005855394282595554, 0.00023866808449025132, -0.0009268118053259667, -0.0008967808472830525, -0.0008900065236757495, 0.0005639571969317468, 0.0006337771393546515, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.7274582,"[0.0016623462170052988, 0.009423400743223231, 0.0032622840864496784, 0.028938943321044963, 0.0563143714745867, 0.024372358511878023, 0.08760254117592903, -0.03997209166576795, -0.03997209166576795]","[-0.0005855394282595554, 0.00023866808449025132, -0.0009268118053259667, -0.0008967808472830525, -0.0008900065236757495, 0.0005639571969317468, 0.0006337771393546515, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.7374966,"[0.0016623462170052988, 0.009423400743223231, 0.0032622840864496784, 0.028938943321044963, 0.0563143714745867, 0.024372358511878023, 0.08760254117592903, -0.03997209166576795, -0.03997209166576795]","[-0.0005855394282595554, 0.00023866808449025132, -0.0009268118053259667, -0.0008967808472830525, -0.0008900065236757495, 0.0005639571969317468, 0.0006337771393546515, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.7472847,"[0.0016643441579078503, 0.00942144725192351, 0.0032681572029954935, 0.028936877072913703, 0.05631920586600898, 0.02434675015582055, 0.08760290632067025, -0.03997209166576795, -0.03997209166576795]","[-0.0002821180353178037, -0.00040027407051288546, 0.0008937413152603517, -0.0006931498486555672, 0.0005650394127591013, -0.0004889753757919426, -1.3745820872573431e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.7574,"[0.0016643441579078503, 0.00942144725192351, 0.0032681572029954935, 0.028936877072913703, 0.05631920586600898, 0.02434675015582055, 0.08760290632067025, -0.03997209166576795, -0.03997209166576795]","[-0.0002821180353178037, -0.00040027407051288546, 0.0008937413152603517, -0.0006931498486555672, 0.0005650394127591013, -0.0004889753757919426, -1.3745820872573431e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.767214,"[0.0016643441579078503, 0.00942144725192351, 0.0032681572029954935, 0.028936877072913703, 0.05631920586600898, 0.02434675015582055, 0.08760290632067025, -0.03997209166576795, -0.03997209166576795]","[-0.0002821180353178037, -0.00040027407051288546, 0.0008937413152603517, -0.0006931498486555672, 0.0005650394127591013, -0.0004889753757919426, -1.3745820872573431e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.777214,"[0.0016643441579078503, 0.00942144725192351, 0.0032681572029954935, 0.028936877072913703, 0.05631920586600898, 0.02434675015582055, 0.08760290632067025, -0.03997209166576795, -0.03997209166576795]","[-0.0002821180353178037, -0.00040027407051288546, 0.0008937413152603517, -0.0006931498486555672, 0.0005650394127591013, -0.0004889753757919426, -1.3745820872573431e-05, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.7871673,"[0.001666056666611994, 0.009419540484757127, 0.003268183538149773, 0.02894211706936245, 0.05631396898372604, 0.02430614616179927, 0.08760286614910062, -0.03997209166576795, -0.03997209166576795]","[0.0003980310125817655, -0.00040309534427904496, 0.0016632061324768873, 0.0004368271334263163, -0.0005664464790103251, -0.001205371910198002, -0.00032014858391297204, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
