timestamp,step_count,eef_pos_x,eef_pos_y,eef_pos_z,eef_quat_x,eef_quat_y,eef_quat_z,eef_quat_w,action_x,action_y,action_z,action_quat_x,action_quat_y,action_quat_z,action_quat_w,action_gripper
2025-07-02 16:54:52.036,0,0.4639374315738678,-0.0034808677155524492,0.25968071818351746,0.9997463226318359,0.009921959601342678,0.007455993443727493,0.018666477873921394,0.5176962614059448,-0.07567323744297028,0.3261987566947937,0.9998976588249207,-0.0015068902866914868,-0.00010034048318630084,0.010585688054561615,0.9999502301216125
2025-07-02 16:54:52.065,1,0.4640001654624939,-0.003529555629938841,0.2597940266132355,0.9997475743293762,0.009853089228272438,0.00746728852391243,0.01863175816833973,0.4925595223903656,-0.07670105248689651,0.3141080439090729,0.9997178316116333,-0.00580791337415576,0.006782494485378265,0.015169896185398102,0.9999739527702332
2025-07-02 16:54:52.114,2,0.4650728106498718,-0.005156568717211485,0.26128771901130676,0.9997467994689941,0.008224798366427422,0.009115826338529587,0.018728218972682953,0.5065975785255432,-0.064106285572052,0.33398598432540894,0.9995905756950378,-0.00012278265785425901,0.010770384222269058,0.01793048344552517,1.0000616312026978
2025-07-02 16:54:52.165,3,0.4669630527496338,-0.009458940476179123,0.2643672227859497,0.9997349381446838,0.003953321371227503,0.01217613834887743,0.019008517265319824,0.4861094653606415,-0.085639089345932,0.3318955600261688,0.9997113347053528,0.003693052101880312,0.011818192899227142,0.017596129328012466,1.0001235008239746
2025-07-02 16:54:52.215,4,0.4693770408630371,-0.015300157479941845,0.26887598633766174,0.9996980428695679,-0.0019765887409448624,0.015412535518407822,0.01890818402171135,0.4859832227230072,-0.10554496943950653,0.3410206139087677,0.9994294047355652,0.004821076523512602,0.0086893942207098,0.01815437339246273,1.0000332593917847
2025-07-02 16:54:52.264,5,0.4717203676700592,-0.02267555706202984,0.2742558419704437,0.9996216893196106,-0.007531662471592426,0.018280602991580963,0.018994316458702087,0.48444515466690063,-0.11397477984428406,0.3478225767612457,0.9995651245117188,0.004442896228283644,0.010666469112038612,0.018290657550096512,0.9998100996017456
2025-07-02 16:54:52.315,6,0.4737992584705353,-0.0313979908823967,0.2806396484375,0.999527096748352,-0.011767803691327572,0.020749947056174278,0.019278762862086296,0.48436158895492554,-0.11922456324100494,0.3573691248893738,0.9996060132980347,0.0038036429323256016,0.01181222964078188,0.018549006432294846,1.0000371932983398
2025-07-02 16:54:52.364,7,0.4755268096923828,-0.0409616157412529,0.28754016757011414,0.9994614124298096,-0.013479831628501415,0.022992104291915894,0.019017737358808517,0.48317936062812805,-0.12299753725528717,0.36541977524757385,0.9995681047439575,0.0032569339964538813,0.013365291059017181,0.019271649420261383,1.0001418590545654
2025-07-02 16:54:52.415,8,0.47706881165504456,-0.05087583139538765,0.29496172070503235,0.9994400143623352,-0.011861845850944519,0.0252397358417511,0.01835872046649456,0.4829840362071991,-0.12963323295116425,0.3740379810333252,0.9997714161872864,0.003037023590877652,0.013442770577967167,0.020275793969631195,0.9998771548271179
2025-07-02 16:54:52.465,9,0.4782969653606415,-0.06086074188351631,0.30245986580848694,0.9994349479675293,-0.008815975859761238,0.027302080765366554,0.01737392134964466,0.48230454325675964,-0.1389256715774536,0.38190004229545593,0.9994813203811646,0.003000784432515502,0.013423115015029907,0.02091609127819538,1.0000360012054443
